Icon,Name,Platform,Language,play_link,itchio_link,github_link,ldjam_link,Screenshot
hydrogen.png,Hydrogen,android,,https://play.google.com/store/apps/details?id=com.furfel.game2demo,,,,hydrogens1.jpg
,Save Ivee,html5,,,https://furfel.itch.io/save-ivee,https://github.com/furfel/LDJam46,https://ldjam.com/events/ludum-dare/46/save-ivee/,saveivees1.jpg
,Gravey’s Dungeon,html5,,,https://furfel.itch.io/graveys-dungeon,https://github.com/furfel/101GameJam,,graveyss1.jpg
,,,,,,,,
,,,,,,,,
rekt.png,#Rekt 420 MLG Fast Jump,android,,https://play.google.com/store/apps/details?id=com.furfel.rekt420mlgfastjump,,,,rekts1.jpg
flappy.png,Flappy 2048 Cookie Doge Simulator,android,,https://play.google.com/store/apps/details?id=com.furfel.whatever,,,,flappys1.jpg
ccc.png,Cute Coin Catcher,android,,,,https://github.com/furfel/cutecoincatcher,,cccs1.jpg
lolteroids.png,Lolteroids,android,,,,https://github.com/furfel/lolteroids,,lolteroidss1.jpg
,Fluffy Cloud Candy,java,,,,https://github.com/furfel/Fluffy-Cloud-Candy,,fccs1.jpg
phurphel.png,Phurphel Corp,android,,,,https://github.com/furfel/PhurphelCorp,,phurphels1.jpg
,Factory City,android,,,,https://github.com/furfel/FactoryCity,,factorycitys1.jpg
